[1580,WrappedArray([122,0.0018435556], [23,0.0017703326], [4,0.0017175633], [124,0.0013589213], [94,0.0013219157], [26,0.0012026837], [415,0.0011418053], [74,0.0010258238], [39,0.0010158538], [2391,9.758544E-4])]
[5300,WrappedArray([58,1.4646505E-5], [9,1.1032869E-5], [12,1.0656172E-5], [80,1.0045234E-5], [60,8.885581E-6], [4,8.657642E-6], [45,7.616571E-6], [30,7.6016368E-6], [29,7.2404405E-6], [120,6.969344E-6])]
[471,WrappedArray([114,0.21813446], [10,0.21198054], [60,0.17340697], [31,0.16727884], [120,0.14635628], [5,0.13065664], [58,0.12252207], [604,0.10396547], [170,0.09807484], [334,0.09670952])]
[1591,WrappedArray([1,0.015159818], [7,0.015034035], [48,0.010057364], [125,0.009002939], [45,0.007287687], [32,0.007068912], [11,0.0065508243], [10,0.0062302374], [64,0.005985417], [173,0.005335536])]
[4101,WrappedArray([13,0.011142296], [146,0.011072171], [5,0.010982152], [122,0.010056588], [11,0.009482663], [38,0.00908554], [22,0.008407137], [8,0.0075105866], [94,0.00703869], [124,0.0067591784])]
[1342,WrappedArray([12,0.0120377485], [11,0.010740364], [39,0.0106108], [9,0.0102014225], [50,0.0098144375], [110,0.009216681], [13,0.009125002], [45,0.008287305], [80,0.008230139], [560,0.007007105])]
[2122,WrappedArray([22,2.4252907E-7], [105,1.9801361E-7], [4,1.9162732E-7], [42,1.2435022E-7], [56,1.2292402E-7], [122,1.2261559E-7], [168,1.2117803E-7], [7,1.18197725E-7], [71,1.1582605E-7], [493,1.1299686E-7])]
[2142,WrappedArray([122,0.0018068495], [32,0.001323982], [94,0.0013143485], [415,0.0012584182], [23,0.0012540731], [14,0.0011616488], [135,0.0011026605], [4,0.0010626386], [2391,0.0010481294], [55,0.0010303215])]
[463,WrappedArray([135,0.103904575], [14,0.096733466], [119,0.08626817], [571,0.08462837], [141,0.08183529], [174,0.07846388], [68,0.07769496], [123,0.076146], [40,0.07088514], [126,0.07082008])]
[833,WrappedArray([0,2.6150103E-4], [119,2.2157739E-4], [150,1.9553641E-4], [143,1.5599078E-4], [92,1.5378493E-4], [474,1.511281E-4], [141,1.3986409E-4], [52,1.386883E-4], [18,1.3146372E-4], [330,1.2714264E-4])]
[5803,WrappedArray([15,0.0018923196], [46,0.0015084345], [105,0.0013972055], [38,0.0012453151], [122,0.0012200874], [135,0.0012067386], [119,0.0011725035], [9,0.0011071886], [94,0.0010428524], [1,0.0010349643])]
[1645,WrappedArray([55,0.0013232243], [135,0.0012603756], [68,0.0012171157], [13,0.0011909917], [122,0.0010709779], [14,0.0010306712], [119,9.2131656E-4], [38,9.004846E-4], [46,8.4476074E-4], [571,8.2287914E-4])]
[4935,WrappedArray([48,0.011161471], [24,0.010085747], [3,0.009891517], [4,0.009701352], [45,0.0085756425], [64,0.007470836], [125,0.0068536606], [103,0.006683232], [39,0.0065622767], [0,0.00620919])]
[496,WrappedArray([1,0.0116307065], [150,0.009359755], [119,0.009285649], [474,0.008659838], [143,0.008215774], [92,0.007257092], [39,0.0070048366], [330,0.006931454], [25,0.0066494676], [83,0.0066029616])]
[2866,WrappedArray([9,0.0017346484], [3,0.0017250449], [15,0.0016783521], [52,0.0015080336], [125,0.0012960131], [1,0.001287126], [352,0.0012765569], [101,0.0012725524], [18,0.0011633198], [6,0.00114445])]
[6336,WrappedArray([0,0.016451197], [2,0.010892629], [10,0.010389794], [40,0.010213518], [5,0.010011017], [58,0.009982907], [148,0.008308731], [120,0.0073717013], [174,0.00685488], [55,0.006644924])]
[6466,WrappedArray([1,2.552501E-7], [9,2.2690696E-7], [150,1.590706E-7], [26,1.4967642E-7], [141,1.2626964E-7], [474,1.2148868E-7], [12,1.1380762E-7], [157,1.1006448E-7], [83,9.577059E-8], [400,9.547394E-8])]
[3997,WrappedArray([5,0.0019577763], [10,0.0017614218], [11,0.0016503759], [8,0.0016131268], [120,0.0014814339], [48,0.0013667666], [60,0.0012822512], [393,0.0011701606], [173,0.0011196053], [3,0.0010093919])]
[6357,WrappedArray([141,0.010853774], [8,0.0106074205], [146,0.010440471], [24,0.010370809], [117,0.009905906], [13,0.009866806], [5,0.0079613775], [643,0.007913295], [22,0.007880111], [119,0.0072324625])]
[6397,WrappedArray([26,0.0025021979], [23,0.0017425725], [141,0.0016541308], [117,0.001311536], [94,0.0012467038], [532,0.0011765129], [643,0.0010940402], [110,0.0010633166], [122,9.6268323E-4], [474,9.48997E-4])]
[148,WrappedArray([0,0.02059202], [15,0.014746061], [150,0.012938269], [141,0.012102587], [119,0.011079686], [65,0.010533483], [9,0.010301661], [36,0.010286083], [174,0.009754371], [135,0.009227201])]
[1088,WrappedArray([9,0.002279271], [135,0.0018048881], [12,0.0013056671], [145,0.0012843867], [30,0.0012583843], [2,0.001233232], [58,0.0011989956], [71,0.001150073], [80,0.0011174458], [46,0.0011150048])]
[1238,WrappedArray([141,1.5598089E-7], [8,1.5373462E-7], [14,1.4205035E-7], [119,1.3656641E-7], [71,1.3576016E-7], [27,1.3396843E-7], [22,1.2993308E-7], [135,1.2984543E-7], [174,1.2388423E-7], [40,1.2028025E-7])]
[3918,WrappedArray([11,0.006679258], [12,0.003551059], [110,0.0031064015], [10,0.002868088], [120,0.0028655727], [8,0.0027483543], [32,0.0025990657], [13,0.0025814997], [198,0.0024129949], [636,0.0022792101])]
[4818,WrappedArray([5,3.136099E-7], [8,1.6688259E-7], [94,1.3265429E-7], [110,1.3132882E-7], [11,1.3123407E-7], [26,1.3088817E-7], [60,1.1970602E-7], [117,1.1496408E-7], [146,1.14312805E-7], [393,1.1416084E-7])]
[5518,WrappedArray([117,0.010705284], [1,0.009494777], [146,0.008090217], [31,0.0077437144], [7,0.0077373665], [474,0.007316993], [493,0.006541751], [143,0.006340503], [26,0.005715423], [23,0.0054938076])]
[1829,WrappedArray([11,0.025402019], [32,0.019259514], [1,0.016649855], [106,0.016167069], [3,0.015836896], [30,0.015468335], [126,0.0142238075], [13,0.013278042], [2,0.011635666], [22,0.0113616735])]
[1959,WrappedArray([146,2.1760633E-7], [117,1.9026183E-7], [143,1.6041486E-7], [119,1.5645378E-7], [643,1.4750357E-7], [25,1.4347563E-7], [474,1.431906E-7], [493,1.4226607E-7], [31,1.3972796E-7], [510,1.3297962E-7])]
[2659,WrappedArray([4,2.048706E-4], [30,2.030289E-4], [7,2.0120181E-4], [8,1.887364E-4], [103,1.510914E-4], [58,1.4326612E-4], [64,1.4089815E-4], [29,1.3667584E-4], [441,1.28779E-4], [494,1.280501E-4])]
[3749,WrappedArray([1,0.0028333347], [13,0.0018471291], [4,0.0017249857], [83,0.0016553694], [0,0.0015844356], [11,0.0013362555], [126,0.0011893411], [50,0.0011871324], [56,0.0011140931], [8,0.0010924992])]
[1460,WrappedArray([11,0.015376199], [55,0.013625983], [2,0.011267763], [13,0.009305524], [73,0.00810915], [32,0.007875149], [106,0.0074655083], [10,0.006442288], [69,0.0063083004], [550,0.0062072095])]
[4190,WrappedArray([14,0.010328559], [123,0.009977445], [8,0.00950698], [47,0.008218775], [133,0.008167682], [68,0.0080169495], [11,0.0077987313], [84,0.007075805], [141,0.0069772885], [198,0.0064451676])]
[1721,WrappedArray([0,0.014543348], [4,0.009633871], [7,0.0083367275], [23,0.007781753], [125,0.0073934034], [119,0.00729496], [52,0.0067529], [92,0.006502339], [105,0.0061879405], [474,0.006037972])]
[2811,WrappedArray([10,0.0025832006], [7,0.0024292083], [58,0.0015799223], [29,0.0015592311], [135,0.0014001237], [139,0.0012667971], [84,0.0012527384], [32,0.0011932821], [120,0.0011347288], [23,0.0011050291])]
[4161,WrappedArray([7,2.8553643E-7], [8,2.4554353E-7], [1,1.5960131E-7], [14,1.5816718E-7], [393,1.569704E-7], [22,1.5692031E-7], [5,1.4521461E-7], [0,1.441514E-7], [4,1.4122443E-7], [117,1.162251E-7])]
[392,WrappedArray([10,0.010604548], [55,0.010167588], [11,0.010167474], [32,0.00931338], [2,0.008381173], [38,0.008199218], [60,0.008007121], [114,0.006939496], [122,0.0059794113], [113,0.005373837])]
[243,WrappedArray([3,0.014153846], [24,0.013113579], [22,0.01245672], [146,0.011132889], [30,0.008404436], [31,0.0069651217], [103,0.0066833803], [168,0.006549986], [48,0.006503104], [64,0.0063790088])]
[623,WrappedArray([22,1.3925768E-5], [146,1.1201049E-5], [31,8.570881E-6], [122,8.502505E-6], [55,7.5673815E-6], [5,7.3988504E-6], [13,6.3388534E-6], [415,6.1321452E-6], [117,5.9694366E-6], [493,5.9466015E-6])]
[1483,WrappedArray([23,0.010045312], [4,0.00863035], [26,0.007965669], [24,0.007842492], [103,0.00686493], [125,0.0063137673], [31,0.0061459225], [101,0.0057924134], [122,0.0051618377], [48,0.005049607])]
[2563,WrappedArray([3,2.2974042E-7], [1,1.9375413E-7], [7,1.8359648E-7], [15,1.6163517E-7], [0,1.594175E-7], [2,1.5889175E-7], [106,1.5596189E-7], [52,1.4620852E-7], [27,1.3921687E-7], [561,1.36992E-7])]
[6393,WrappedArray([14,0.014670138], [123,0.010851571], [135,0.0104007395], [68,0.009928349], [10,0.008366748], [8,0.008329969], [55,0.0072466866], [7,0.00718912], [266,0.0065347557], [84,0.0063665058])]
[5614,WrappedArray([122,0.001878066], [124,0.0014082247], [26,0.0014073428], [105,0.001310575], [170,0.0012716531], [38,0.0011871194], [53,0.0011634362], [415,0.0011539303], [5,0.0011403919], [23,0.0010010895])]
[1025,WrappedArray([26,0.011629118], [23,0.010729597], [125,0.0077545173], [110,0.007691656], [113,0.007571369], [6,0.006544111], [114,0.0063997284], [31,0.0061871447], [44,0.0061313035], [474,0.0055880854])]
[1395,WrappedArray([7,0.10035653], [10,0.08324391], [32,0.075802326], [106,0.07309754], [48,0.0649292], [11,0.06078625], [125,0.05982911], [31,0.056816626], [55,0.056282442], [3,0.054536905])]
[2235,WrappedArray([0,0.0022799736], [60,0.0014697568], [83,0.0014231871], [68,0.0012180667], [1,0.0011772724], [110,0.0010381074], [491,0.0010023019], [39,9.987876E-4], [23,9.96196E-4], [4,9.960933E-4])]
[3475,WrappedArray([9,0.0022462723], [84,0.0019004269], [12,0.0016740528], [133,0.001603594], [71,0.0015065202], [123,0.0011559103], [15,0.0011371563], [80,0.0010450153], [27,9.230689E-4], [22,9.1256335E-4])]
[3226,WrappedArray([0,0.002425567], [3,0.0017511199], [64,0.0016666583], [52,0.001603479], [24,0.0015432872], [48,0.0013198517], [150,0.0013129929], [1,0.001274688], [635,0.00125018], [587,0.0012076078])]
[737,WrappedArray([12,2.3937372E-4], [133,2.1779379E-4], [58,1.7765185E-4], [123,1.6943167E-4], [9,1.6423999E-4], [135,1.5415176E-4], [80,1.5340745E-4], [32,1.4965209E-4], [39,1.434001E-4], [30,1.3450006E-4])]
[897,WrappedArray([18,2.0985183E-7], [25,1.3608631E-7], [2,1.1856394E-7], [31,1.1558739E-7], [48,1.14859624E-7], [6,1.11685395E-7], [3,1.0868659E-7], [73,1.06445924E-7], [476,1.0161508E-7], [150,9.627071E-8])]
[1127,WrappedArray([58,0.0017714102], [8,0.0016670662], [22,0.0015685373], [133,0.0015450255], [135,0.0015196024], [123,0.0014625562], [12,0.0012404876], [23,0.0010375106], [14,0.001030467], [146,0.001015712])]
[1507,WrappedArray([5,2.4997644E-4], [18,2.2622157E-4], [3,1.8716144E-4], [52,1.6601251E-4], [38,1.517671E-4], [40,1.3801418E-4], [6,1.3479449E-4], [10,1.2396311E-4], [106,1.2383194E-4], [289,1.2019703E-4])]
[2387,WrappedArray([0,2.3021197E-5], [5,1.3466782E-5], [24,1.02213035E-5], [146,9.415492E-6], [25,8.448259E-6], [168,8.268615E-6], [8,7.746472E-6], [148,7.6069764E-6], [587,7.133118E-6], [22,6.8962727E-6])]
[3698,WrappedArray([5,0.0030012685], [38,0.002029937], [40,0.001826281], [8,0.0016748281], [13,0.0014331134], [146,0.0013160189], [122,0.0012645428], [24,0.0012326117], [17,0.0010594059], [42,0.001041327])]
[4158,WrappedArray([1,0.14537534], [150,0.14432117], [0,0.13049187], [3,0.12963428], [7,0.12872575], [48,0.12812416], [261,0.09937515], [83,0.09812274], [125,0.08804274], [39,0.07905363])]
[2999,WrappedArray([26,0.0018316712], [23,0.0015796483], [110,0.0012148623], [122,0.0011407249], [94,0.0011265703], [135,8.626453E-4], [124,8.1441185E-4], [415,7.229059E-4], [14,7.1062596E-4], [9,7.066117E-4])]
[3179,WrappedArray([9,2.3989328E-4], [26,2.095746E-4], [53,1.4574759E-4], [46,1.4328702E-4], [12,1.3057336E-4], [122,1.2943796E-4], [105,1.2741896E-4], [492,1.2466944E-4], [23,1.18931435E-4], [474,1.09274755E-4])]
[1650,WrappedArray([0,2.1437922E-4], [23,1.7855894E-4], [26,1.6196792E-4], [94,1.5673586E-4], [64,1.4379481E-4], [4,1.2972485E-4], [60,1.2581474E-4], [125,1.1396434E-4], [44,1.1350858E-4], [643,9.6947406E-5])]
[3000,WrappedArray([119,0.010823415], [150,0.010216001], [46,0.009505368], [73,0.009344432], [145,0.008756783], [105,0.008696925], [65,0.008577967], [27,0.008566863], [133,0.0070137605], [180,0.0065326937])]
